Country,alpha-2,alpha-3,continent,signature_food
Fiji,FJ,FJI,Oceania,"Kokoda is a traditional Fijian dish that showcases the vibrant flavors of the Pacific Islands. It is a type of ceviche made with raw fish, often using a local fish like mahi-mahi or tuna. The fish is marinated in a mixture of coconut milk, lime or lemon juice, onions, tomatoes, and various spices. The acid in the citrus juice ""cooks"" the fish, similar to the process in ceviche. The coconut milk adds a creamy and tropical element to the dish. Other common ingredients include chili peppers, cilantro, and sometimes vegetables like cucumber or bell peppers."
Finland,FI,FIN,Europe,"Pulla is a traditional Finnish sweet bread that is often enjoyed as a treat during special occasions and festive holidays. This cardamom-flavored bread is slightly sweet and rich, with a soft and airy texture. Pulla is typically braided or shaped into a ring, creating an aesthetically pleasing presentation. The key ingredient that gives Pulla its distinctive flavor is ground cardamom, which adds a warm and aromatic essence to the dough. The bread is often brushed with an egg wash before baking, giving it a shiny and golden-brown crust. Pulla is commonly served with coffee or tea and is a cherished part of Finnish culinary traditions, symbolizing warmth and hospitality. It is also a popular item during Christmas celebrations in Finland."
Gabon,GA,GAB,Africa,"Nyembwe Chicken is a Gabonese dish where chicken is cooked in a rich coconut sauce, typically served with rice or root vegetables. The dish showcases the flavors of Gabon, combining the tenderness of chicken with the richness of coconut, creating a delicious and comforting meal."
Gambia,GM,GMB,Africa,"Domoda is a traditional Gambian dish renowned for its rich flavors and hearty composition. It consists of a peanut stew, prepared with meat such as goat or lamb, and is typically served alongside rice. The dish is known for its distinctive taste, where the combination of groundnuts (peanuts), tomatoes, onions, and various spices creates a savory and comforting stew. Domoda not only reflects the diverse culinary traditions of Gambia but also highlights the prominent use of peanuts, a staple ingredient in Gambian cuisine. The dish is a popular choice, providing both a delicious and satisfying dining experience."
Ghana,GH,GHA,Africa,"Kelewele is a popular Ghanaian street food made from spicy fried plantains. The plantains are seasoned with a mixture of spices like ginger, pepper, and sometimes garlic before being deep-fried to perfection. Kelewele offers a delightful combination of sweetness from the ripe plantains and a kick of heat from the spices, making it a flavorful and beloved snack in Ghana."
Greenland,GL,GRL,North_America,"Suaasat is a traditional Greenlandic dish that holds cultural significance in Greenland. It is a hearty and flavorful meat soup, typically made with a variety of meats such as seal, whale, reindeer, or musk ox. The choice of meat depends on what is available in the region. The meats are often combined with root vegetables, such as potatoes, carrots, and onions, and sometimes rice or pearl barley. Suaasat is seasoned with herbs like thyme or bay leaves, enhancing its rich and savory taste."
Niger,NE,NER,Africa,"Jollof Rice is a popular West African dish, and it is also enjoyed in Niger. Here is an explanation of Jollof Rice in English: Jollof Rice is a flavorful one-pot dish made with rice cooked in a rich and aromatic tomato-based sauce. The sauce typically includes ingredients such as tomatoes, onions, peppers, and various spices, giving the rice a vibrant color and robust flavor. The dish often incorporates protein sources such as chicken, beef, fish, or even shrimp, adding additional layers of taste and texture. Vegetables like peas or carrots may also be included for added nutritional value and color. Jollof Rice is known for its versatility and is a staple at celebrations, gatherings, and festive occasions. The cooking method involves simmering the rice in the seasoned tomato sauce until the grains absorb the flavors, resulting in a delicious and well-spiced dish. Different regions and families may have their variations of Jollof Rice, and it is considered a cultural dish with variations across West African countries, including Niger."
Nicaragua,NI,NIC,America,"Gallo Pinto is a traditional dish from Nicaragua, particularly popular as a breakfast item. Here is an explanation of Gallo Pinto in English: Gallo Pinto is a classic dish consisting of rice and beans that are cooked together with a variety of seasonings. The name ""Gallo Pinto"" translates to ""spotted rooster"" in English, reflecting the speckled appearance of the dish due to the mixture of rice and beans. The preparation involves cooking rice and red or black beans in a seasoned pot, typically with ingredients such as onions, bell peppers, garlic, and various local spices. The combination of these elements gives Gallo Pinto its distinct flavor and appearance. Gallo Pinto is often served as a side dish alongside breakfast items such as eggs, fried plantains, cheese, and sometimes meat like sausages or bacon. It is a beloved and versatile dish enjoyed throughout Nicaragua and other Central American countries, representing a staple in the region's culinary traditions."
Guinea,GN,GIN,Africa,"Kooli, a traditional dish from Guinea, is a culinary delight that highlights the country's rich food culture. It is a hearty and flavorful concoction consisting of okra and palm fruit soup, typically served with rice. The dish beautifully captures the essence of Guinean cuisine, where the use of locally sourced ingredients plays a crucial role. To prepare Kooli, okra is combined with palm fruit to create a thick and aromatic soup. The unique blend of flavors is enhanced by the addition of various spices and seasonings, contributing to the dish's distinct taste profile. The dish's heartiness and reliance on staples like rice exemplify the importance of these elements in the Guinean diet. Kooli reflects the culinary diversity of Guinea, incorporating indigenous ingredients and traditional cooking techniques. Whether enjoyed as a comforting family meal or as part of a communal gathering, Kooli stands as a flavorful representation of Guinea's gastronomic heritage."
Haiti,HT,HTI,North_America,"Soup Joumou is a traditional soup from Haiti that holds significant cultural and historical importance. It is particularly associated with Haitian Independence Day, celebrated on January 1st, marking Haiti's liberation from French colonial rule. The main ingredient in Soup Joumou is the Caribbean pumpkin, also known as calabaza. The soup is a rich and hearty blend of pureed pumpkin, beef, and various vegetables. It is flavored with aromatic herbs and spices such as thyme, parsley, and Scotch bonnet peppers. The soup often includes pasta or rice for added substance."
Honduras,HN,HND,North_America,"Baleada, a beloved dish in Honduras, is a delicious and versatile creation that reflects the country's vibrant culinary traditions. This popular street food consists of a soft flour tortilla generously filled with mashed fried beans, cheese, and various optional ingredients. The optional additions may include avocado slices, eggs, or different types of meats, contributing to the dish's diverse flavor profile. The heart of a baleada lies in the simplicity of its components, combined to create a harmonious and satisfying culinary experience. The warm, pillowy tortilla provides the perfect canvas for the creamy texture of the mashed beans and the richness of the cheese. The optional ingredients add layers of flavor, making baleada a customizable and fulfilling snack or meal. Often enjoyed as a quick bite on the go, baleadas are not just a culinary delight but also a cultural symbol in Honduras. Whether purchased from street vendors or prepared at home, this dish encapsulates the warmth and diversity of Honduran cuisine, offering a delightful combination of textures and tastes in every bite."
Jamaica,JM,JAM,North_America,"Ackee and Saltfish is a quintessential Jamaican dish, celebrated for its vibrant flavors and cultural importance. The dish features ackee, the national fruit of Jamaica, sautéed with salted codfish, onions, tomatoes, and spices. The combination creates a savory and hearty mixture often enjoyed with sides like fried plantains or dumplings. Ackee and Saltfish is not only a delicious culinary experience but also a symbol of Jamaican heritage, recognized as the national dish."
Puerto Rico,PR,PRI,America,"Mofongo is a traditional Puerto Rican dish that consists of mashed green plantains, typically fried, mixed with garlic, and often combined with pork cracklings or bacon fat. The dish is known for its unique texture and flavor, offering a delightful combination of savory and starchy elements. The preparation of mofongo involves peeling green plantains, which are then fried until golden brown. The fried plantains are mashed with garlic, salt, and sometimes broth to create a smooth or chunky consistency, depending on personal preference. Some variations of mofongo include additional ingredients like chicharrones (pork cracklings) or other meats. Mofongo is often shaped into a ball or molded using a cup and served as a side dish or accompaniment to various main courses, such as grilled meats or seafood. The dish is a beloved part of Puerto Rican cuisine, showcasing the versatility of plantains in the local gastronomy."
Kazakhstan,KZ,KAZ,Asia,"Beshbarmak, a significant dish in Kazakh cuisine, is a culinary emblem of warmth, hospitality, and cultural heritage. This traditional Kazakh dish consists of boiled meat, typically lamb or beef, delicately arranged on a bed of pasta or boiled dough. The name ""Beshbarmak"" translates to ""five fingers,"" indicating the traditional way of eating the dish – with hands. The preparation of Beshbarmak involves boiling the meat until it reaches a tender perfection. The meat is then artfully arranged on a base of pasta or boiled dough, creating a visually appealing presentation. The dish is often garnished with sautéed onions, adding a sweet and savory element to complement the succulence of the meat. Beshbarmak is not merely a meal; it holds deep cultural significance in Kazakhstan. Traditionally, it is a dish of celebration and hospitality, often served during special occasions, gatherings, and festive events. Sharing Beshbarmak is a symbol of communal harmony and unity, reinforcing the importance of togetherness in Kazakh culture. Beyond its cultural symbolism, Beshbarmak reflects the nomadic roots of the Kazakh people, showcasing a practical and delicious way to utilize readily available ingredients. Whether enjoyed in a family setting or as part of a larger celebration, Beshbarmak stands as a culinary representation of Kazakh tradition, flavor, and the spirit of sharing."
Cambodia,KH,KHM,Asia,"Amok or Coconut fish curry is Cambodia’s national dish, a fragrant and spicy coconut fish curry tenderly steamed in banana leaves, which gives it a mousse-like texture which all but makes it melt in the mouth. The blended spice paste, kroeung, is also added to the dish. Chicken, tofu, and snails can be used as a substitute for the fish."
Papua New Guinea,PG,PNG,Oceania,"""Kaukau"" is the local term for cooked sweet potatoes in Papua New Guinea. Sweet potatoes are a staple food in the region, and once they are cooked, they are referred to as ""kaukau."" The cooking methods can vary, including boiling, roasting, or other traditional methods. Sweet potatoes are a significant part of the Papua New Guinean diet, and ""kaukau"" is enjoyed in various dishes and meals."
Croatia,HR,HRV,Europe,"Risotto Crni is a Croatian adaptation of the traditional Italian risotto, featuring a distinctive black color derived from cuttlefish or squid ink. It offers a rich seafood flavor, and its unique appearance sets it apart. The dish is prepared with additional ingredients such as onions, garlic, white wine, Parmesan or Pecorino cheese, and parsley, creating a gradual and creamy cooking process. Originating from coastal Croatia, Risotto Crni showcases the influence of Mediterranean culinary traditions."
Switzerland,CH,CHE,Europe,"Raclette is a Swiis dish, also popular in the other Alpine countries, based on heating cheese and scraping off the melted part, then typically served with boiled potatoes. Raclette cheese is historically a dish originating from the canton of Valais in Switzerland. Raclette is also served as street food, but often with bread instead of potatoes."
United Kingdom,GB,GBR,Europe,"The Hamburger, an enduring culinary symbol of the United States, is a classic American dish that has achieved global recognition. At its core, a hamburger comprises a ground beef patty, seasoned to perfection, and typically cooked by grilling or frying. This flavorful meaty centerpiece is nestled within a soft bun, forming the foundation of a beloved and easily customizable meal. What makes the hamburger truly iconic is its versatility. Toppings play a crucial role in shaping the burger's taste profile, and variations abound. From the traditional lettuce, tomatoes, and onions to the tangy pickles and the savory layers of cheese, each component contributes to the symphony of flavors. Condiments like ketchup, mustard, and mayonnaise add the finishing touch, providing that quintessential American taste. The cultural impact of the hamburger is evident in its widespread popularity. Found in diners, fast-food joints, and gourmet restaurants alike, the hamburger has become a staple in American gastronomy. Its simplicity, portability, and satisfying combination of textures make it a go-to choice for individuals of all ages. Beyond its culinary significance, the hamburger has woven itself into the fabric of American culture. It is a symbol of casual dining, backyard barbecues, and the cherished experience of enjoying a meal with friends and family. The cultural ubiquity of the hamburger extends globally, representing a taste of American comfort and familiarity for people around the world. Whether at a local diner or a high-end establishment, the hamburger stands as a timeless and cherished creation in the diverse tapestry of American cuisine."
Peru,PE,PER,South_America,"Ceviche is the national dish of the country. It's a cold-cooked fish dish that is marinated in lime juice and usually served alongside red onions, boiled corn and sweet potato. Unlike ceviche from Mexico, in Peru ceviche doesn't use tomatoes or avocado."
Taiwan,TW,TWN,Asia,"Bubble tea, also known as Boba, is a popular Taiwanese drink consisting of cold tea, often sweetened, combined with milk or fruit flavors. What sets it apart are the chewy tapioca pearls, commonly known as ""bubbles"" or ""boba,"" that add a delightful texture to the beverage. The drink gained international recognition for its unique combination of flavors and the enjoyable experience of sipping through a wide straw to savor both the tea and the chewy pearls"
Montenegro,ME,MNE,Europe,"Njeguški Pršut is a renowned variety of prosciutto, a dry-cured ham, that comes from the Njeguši region in Montenegro. This traditional delicacy is made by dry-salting and air-drying pork hind legs. The specific climatic conditions of the region, characterized by a combination of mountain air and winds, contribute to the unique flavor and quality of Njeguški Pršut. The process of making Njeguški Pršut involves a careful balance of salting, air-drying, and aging, resulting in a ham with a distinct aroma, rich flavor, and a texture that is both tender and slightly firm. The outer layer is typically covered with a layer of fat, which enhances the taste and preserves the ham during the curing process. Njeguški Pršut is often served thinly sliced as an appetizer or part of a charcuterie board. It is appreciated for its savory taste, and its production is deeply rooted in the culinary traditions of Montenegro. The ham is not only a local delicacy but has gained recognition and popularity beyond the region for its unique qualities."
Brunei,BN,BRN,Asia,"Ambuyat Brunei’s proud national dish. Derived from the interior trunk of the sago palm tree, ambuyat consists of a mix of starchy, solid whites (similar to tapioca starch) and water. Served sticky with a dip called cacah (usually sour and spicy), ambuyat is completely edible without chewing it. In fact, it’s normal to just swallow it, it’s the savoury taste that people yearn for."
Bulgaria,BG,BGR,Europe,"Banitsa is a cherished culinary delight from Bulgaria that holds a special place in the country's gastronomic heritage. This traditional pastry is a delightful blend of layers of thin dough, known as filo or phyllo, generously filled with a mixture of eggs, yogurt, and white cheese. The combination of these ingredients creates a harmonious balance of flavors, with the creaminess of the cheese complementing the richness of the eggs and the tangy notes from the yogurt. The preparation of Banitsa involves skillfully layering the dough and filling, creating a distinctive spiral or rectangular shape. The pastry is then baked to golden perfection, resulting in a delightful crispiness on the outside while maintaining a soft and flaky interior. This meticulous baking process contributes to the irresistible texture that Banitsa is known for. Banitsa is not only a popular snack but also a traditional breakfast item in Bulgaria, enjoyed with a cup of yogurt or a side of fresh fruits. The versatility of Banitsa is further highlighted by the various regional and personal variations, which may include additional ingredients like spinach, pumpkin, or leeks. Beyond its culinary significance, Banitsa is often associated with cultural celebrations and festive occasions. It is a symbol of hospitality and is frequently shared among family and friends during gatherings. The dish encapsulates the essence of Bulgarian culinary traditions, showcasing the mastery of working with filo dough and the appreciation for the delectable combination of textures and flavors. Whether enjoyed as a savory treat or a part of a larger meal, Banitsa stands as a delicious testament to Bulgaria's rich culinary heritage."
Cuba,CU,CUB,North_America,"Ropa Vieja, a classic dish from Cuba, is a culinary masterpiece that showcases the rich tapestry of flavors inherent in Cuban cuisine. Translating to ""Old Clothes"" in English, the dish is a savory and hearty stew featuring shredded beef as the star ingredient. To prepare Ropa Vieja, beef is slow-cooked until tender, then shredded into succulent strands. It is then combined with a tantalizing blend of tomatoes, bell peppers, onions, and an assortment of aromatic spices. This medley of ingredients imparts a depth of flavor, with the tomatoes offering a subtle sweetness, the bell peppers contributing a mild crunch, and the spices providing a harmonious balance. The name ""Ropa Vieja"" is derived from the shredded appearance of the beef, resembling tattered clothing. Despite its humble origins, the dish is a celebration of the artistry involved in transforming basic ingredients into a flavorful and satisfying meal. Ropa Vieja is commonly served with rice and black beans, creating a classic Cuban combination that is both comforting and nourishing. The dish is a staple on Cuban dining tables and is enjoyed during family gatherings, celebrations, and everyday meals. Its popularity extends beyond Cuba, making it a beloved representation of the country's culinary prowess and cultural identity. Whether savoring it in a local Cuban eatery or recreating it at home, Ropa Vieja stands as a testament to the enduring and delicious traditions of Cuban gastronomy."
Oman,OM,OMN,Asia,"Shuwa is a festive dish in Oman, typically prepared for special occasions and celebrations, such as Eid al-Fitr. The dish is known for its unique cooking method, where marinated meat, usually lamb or goat, is wrapped in banana leaves and slow-cooked in an underground sand oven. The preparation of Shuwa begins with marinating the meat in a mixture of various spices, including cumin, coriander, garlic, and other local seasonings. The marinated meat is then tightly wrapped in banana leaves, forming a parcel that is secured with twine. The sand oven, known as a ""tanur,"" is preheated by burning wood or charcoal. The meat parcels are placed in the hot sand, covered, and left to slow-cook for an extended period, often overnight. The result is tender, succulent meat infused with the rich flavors of the marinade. Shuwa is a communal dish, often prepared by families or communities coming together for special occasions. It not only showcases the culinary expertise of Oman but also reflects the cultural significance of sharing food during festive times. Once cooked, Shuwa is unwrapped, revealing the fragrant and flavorful slow-cooked meat, ready to be enjoyed by all."
Iraq,IQ,IRQ,Asia,"Masgouf is a fish dish eaten all around Iraq and often referred to as the national dish of the country. The fish used to prepare masgouf is usually freshwater carp, which is butterflied, marinated, set on skewers, then grilled next to an open fire. To give it a crispy exterior, the fish is commonly covered with salt before cooking, while the marinating step may be omitted if the fish is fresh and of good quality. Although it is eaten throughout Iraq, the dish is especially popular in cities along the river Tigris."
Iceland,IS,ISL,Europe,"Skyr, a traditional Icelandic yogurt, boasts a unique texture and consistency that sets it apart from other yogurts. It is renowned for its incredibly thick and velvety-smooth texture, making it a delight to savor. The texture of Greek yogurt is achieved through a straining process that removes the whey, resulting in a higher concentration of solids. This straining process gives Greek yogurt its signature thickness and creaminess. The end result is a yogurt that feels more substantial and satisfying compared to regular yogurt. The consistency of Greek yogurt is often described as “custard-like” or “velvety.” It has a slight tanginess that adds depth to its overall flavor profile."
Kenya,KE,KEN,Africa,"Irio is a staple food in Kenya. The word Irio simply means food in the Kikuyu community of Kenya. It is a very simple but delicious side dish made with Potatoes, Corn, and Peas. This amazing dish is also referred to as African mashed Potatoes, Kenyan mashed Potatoes, or Mukimo. Irio is very delicious, very filling and it’s perfect for a mid-week comfort food dinner."
Luxembourg,LU,LUX,Europe,"Gromperekichelcher is a traditional Luxembourgish dish that can be described as potato fritters or potato cakes. The name is a combination of Luxembourgish words: ""Gromperen"" meaning potatoes and ""Kichelchen"" meaning little cakes. These tasty treats are a popular snack or appetizer in Luxembourg. The preparation involves grating potatoes and mixing them with ingredients such as finely chopped onions, parsley, and various spices. The mixture is then shaped into small cakes or patties and fried until golden brown. The result is a crispy and flavorful potato fritter with a soft interior. Gromperekichelcher are often enjoyed during various festive occasions, markets, or as a street food snack. They can be served on their own or accompanied by sauces like ketchup, mayonnaise, or mustard. The dish reflects the use of simple, locally available ingredients and is a beloved part of Luxembourg's culinary heritage."
Mongolia,MN,MNG,Asia,"Buuz, a culinary gem from Mongolia, stands as a testament to the country's rich nomadic heritage. These traditional Mongolian dumplings are a culinary delight, skillfully crafted with a filling of seasoned minced meat, typically lamb or beef. The meat is enhanced with a medley of spices, creating a flavorful mixture encased in a delicate dough. The preparation of Buuz is an art, and the dumplings are traditionally steamed, resulting in a texture that is both tender and succulent. The steaming process allows the flavors to meld harmoniously, creating a delicious and satisfying culinary experience with each bite. Buuz is not merely a meal; it holds cultural significance in Mongolia. These dumplings are often enjoyed during special occasions, festivals, and family gatherings, symbolizing warmth, togetherness, and the celebration of nomadic traditions. The communal aspect of sharing Buuz emphasizes the importance of connection and hospitality in Mongolian culture. The dish also reflects the resourcefulness of nomadic life, as it utilizes readily available ingredients to create a hearty and portable meal. Whether enjoyed in the vast landscapes of the Mongolian steppes or in urban settings, Buuz represents a culinary link to Mongolia's nomadic past and a flavorful expression of its present."
Somalia,SO,SOM,Africa,"Anjero, also known as Canjeero, is a traditional Somali dish that resembles a thin, soft pancake or crêpe. It is made from a batter consisting of sorghum or wheat flour, which is fermented overnight. The fermentation process gives anjero its distinct flavor and slightly sour taste. The preparation involves pouring the batter onto a hot, flat surface, creating a circular shape. The result is a thin, round bread that can vary in size. Anjero is cooked only on one side and does not require flipping. Anjero is a versatile dish and is commonly enjoyed as a staple in Somali cuisine. It is often served with a variety of accompaniments, such as honey, ghee (clarified butter), or yogurt. Additionally, it can be paired with savory side dishes like stews, curries, or sauces made with meat, vegetables, or lentils. This traditional Somali food holds cultural significance, and the communal act of sharing anjero is a common practice, symbolizing unity and hospitality in Somali households."
Chad,TD,TCD,Africa,"Kisra, or kissra, is indeed a popular thin fermented bread that is commonly made and enjoyed in Chad, as well as in some other African countries. It is a traditional staple in the Chadian cuisine and often serves as a versatile accompaniment to various dishes. To prepare Kisra, a batter is typically made from fermented sorghum or millet flour mixed with water. The batter is allowed to ferment for a period, giving the bread a slightly tangy flavor. After fermentation, the batter is spread thinly on a hot griddle or a flat surface and cooked until it forms a thin, flatbread. Kisra is often large in size and can be folded or rolled before serving."
Congo,CG,COD,Africa,"Moambe Chicken, or Poulet à la Moambé, is a popular and traditional dish in the Republic of Congo, as well as in other Central African countries. It is a flavorful chicken stew prepared with a distinctive sauce made from moambe, which is derived from the pulp of the African oil palm fruit. To make Moambe Chicken, chicken pieces are simmered in a sauce that typically includes moambe, tomatoes, onions, garlic, and various spices. The dish may also incorporate ingredients like vegetables, peanuts, and sometimes fish or seafood, depending on regional variations."
Hungary,HU,HUN,Europe,"Gulyásleves, commonly known as Goulash Soup, is a traditional Hungarian dish renowned for its hearty and flavorful character. This soup is a variation of the famous Hungarian goulash, a stew known for its robust taste and use of paprika. Gulyásleves shares these characteristics but is more soup-like in consistency. The key ingredients in Gulyásleves include tender beef chunks, onions, bell peppers, and potatoes, all cooked in a broth seasoned with generous amounts of paprika and other spices. The paprika not only imparts a vibrant color to the soup but also contributes to its distinctive taste. The soup is often simmered until the meat is tender and the flavors meld together."
Myanmar,MM,MMR,Asia,"Nan Gyi Thoke is a popular Burmese dish known for its distinctive combination of flavors and textures. It is a traditional Burmese salad that features wheat noodles as its main ingredient. The dish typically consists of cooked wheat noodles, often mixed with a variety of ingredients such as shredded chicken, onions, garlic, fish sauce, lime juice, and a generous amount of crushed roasted peanuts. Nan Gyi Thoke is also seasoned with a flavorful blend of spices, including turmeric and chili powder, which gives the dish its vibrant color and a spicy kick."
Romania,RO,ROU,Europe,"Sarmale is a traditional Romanian dish that consists of cabbage rolls filled with a mixture of ground meat, rice, and various herbs and spices. The dish is popular in Romania and other countries in the Balkan region. To prepare sarmale, cabbage leaves are blanched or fermented to make them pliable. The filling, typically a mixture of ground pork or a combination of pork and beef, rice, finely chopped onions, and various herbs such as thyme or dill, is then rolled in the cabbage leaves. The rolls are arranged in layers in a large pot. The dish is often flavored with smoked pork, sauerkraut, and sometimes tomato sauce. Sarmale are then slow-cooked, allowing the flavors to meld, and the cabbage leaves to become tender. It is a dish often associated with festive occasions, holidays, and family gatherings."
Sudan,SD,SDN,Africa,"Ful Medames is a popular and nutritious dish in Middle Eastern and North African cuisine, particularly enjoyed in countries like Egypt and Sudan. Ful Medames is a stew made from cooked and mashed fava beans. The beans are simmered until they are soft and then mashed or pureed. The dish is typically seasoned with ingredients like garlic, lemon juice, olive oil, cumin, and sometimes chili pepper, providing it with a flavorful and aromatic profile."
Zimbabwe,ZW,ZWE,Africa,"Sadza, also known as sadza, nshima, pap, or posho, is a staple food in Zimbabwe and many other Southern African countries. It is a thick porridge made from finely ground maize (corn) meal and water. The preparation involves slowly stirring the maize meal into boiling water to create a smooth, thick consistency. The dish is typically served as an accompaniment to various savory sauces, stews, or relishes. Sadza is versatile and can be paired with a variety of side dishes, including meats, vegetables, or legumes. Eaten with the hands, sadza is often rolled into a ball or a small portion is pinched off and used to scoop up the accompanying sauce. It holds cultural significance in Zimbabwe and is commonly shared during communal meals, symbolizing unity and togetherness. Sadza is not only a source of sustenance but also an integral part of the culinary and cultural heritage in the region."
Yemen,YE,YEM,Asia,"Fahsa is one of the most popular dishes in Yemen, it is a main course served with Yemeni bread and special hot sauce (Sahawiq). It is a stew of veal or lamb cooked on a high heat in a stone pot to keep the heat lasting for longer. It is served literally boiling. Broth and fenugreek dip are added to the stew. The tenderness of the meat and the delicious spice mixture, along with the dip and broth, make every bite tempting and irresistible. "
Zambia,ZM,ZMB,Africa,"Nshima is the staple food of Zambia, made from finely ground maize flour called mealie meal, cooked by mixing the corn meal with hot water to make a very thick porridge. It is served with with a rich and delicious stew known as ndiwo usually meat or fish and one or two vegetables."
Kuwait,KW,KWT,Asia,"Machboos Laham touted as Kuwait’s national dish, this flavorful traditional specialty features an orchestra of spices, such as cardamom, cinnamon, turmeric, cloves, pepper, and ginger, as well as mutton or chicken all submerged in a bed of slow-cooked long-grain basmati rice. An aromatic rice-based delicacy that combines a savory mix of saffron- and rosewater-infused rice and layers of meat, it is often garnished with fried onions, raisins, and split chickpeas. Best served with the famed tomato-based gravy cooked with garlic and cilantro called Dakkus or Dakoos."
Mali,ML,MLI,Africa,"Labadja is a traditional delicacy with Mali roots, usually prepared with beef, white rice, and traditional spices. The dish boasts of its irresistible flavor and high nutritional value. Unlike any other regular rice recipe, this Labadja dish features a unique preparation style. The ingredients can be adjusted according to your preferences and the number of people you are looking forward to feeding."
